position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Charles Taylor,Q49090,1997-08-02,2003-08-11,male,1948-01-28,,President Charles Taylor.png,Charles Taylor (Liberian politician)
President,Moses Blah,Q561542,2003-08-11,2003-10-14,male,1947-04-18,2013-04-01,,Moses Blah
President,Gyude Bryant,Q442511,2003-10-14,2006-01-16,male,1949-01-17,2014-04-16,Gyude Bryant.jpg,Gyude Bryant
President,Ellen Johnson Sirleaf,Q43179,2006-01-16,2018-01-22,female,1938-10-29,,"Ellen Johnson-Sirleaf, April 2010.jpg",Ellen Johnson Sirleaf
President,George Weah,Q173139,2018-01-22,,male,1966-10-01,,President George Weah in 2019 (cropped).jpg,George Weah
Vice President,Enoch Dogolea,Q5379288,1997-08-02,2000-06-24,male,1951,2000-06-24,,Enoch Dogolea
Vice President,Moses Blah,Q561542,2000-07-24,2003-08-11,male,1947-04-18,2013-04-01,,Moses Blah
Vice President,Joseph Boakai,Q2630483,2006-01-16,2018-01-22,male,1944-11-30,,Joseph Boakai.png,Joseph Boakai
Vice President,Jewel Taylor,Q1688608,2018-01-22,,female,1963-01-17,,Jewel Taylor (9061) (cropped).jpg,Jewel Taylor
Minister of Defence,Daniel Chea,Q99485792,1997,2006-01-16,male,,,,
Minister of Defence,Brownie Samukai,Q4976534,2006-01-16,2018-01-22,male,,,,Brownie Samukai
Minister of Defence,Daniel Dee Ziankahn,Q99485794,2018-01-22,,male,,,,
Minister of Education,Joseph Korto,Q6284659,2006-01,2010-04,male,,2020-06-21,,Joseph Korto
Minister of Finance,Olubanke King Akerele,Q436587,2006,2007,female,1946-05-11,,Olubanke King Akerele 080627-F-1644L-202.jpg,Olubanke King Akerele
Minister of Finance,Antoinette Sayeh,Q518483,2006-01,2008,female,1958-07-12,,Antoinette Sayeh.jpg,Antoinette Sayeh
Minister of Finance,Augustine Kpehe Ngafuan,Q4821195,2008,2012-01,male,1970-04-07,,,Augustine Kpehe Ngafuan
Minister of Finance,Amara Mohamed Konneh,Q16148904,2012-01,2014-06,male,1972-12-07,,Amkoff.jpg,Amara Mohamed Konneh
Minister of Finance,Boima Kamara,Q88314614,2016-04,2018-01,male,,,,Boima Kamara
Minister of Finance,Samuel D. Tweah,Q110515210,2018-01,,male,,,,
Minister of Foreign Affairs,Monie Captan,Q1773116,1996,2003,male,1962-05-28,,,Monie Captan
Minister of Foreign Affairs,Lewis Brown,Q6536357,2003,2003-10-14,male,1965,,,Lewis Brown (Liberia)
Minister of Foreign Affairs,Thomas Nimely,Q7792753,2003-10-14,2006-02,male,1956,,,Thomas Nimely
Minister of Foreign Affairs,George Wallace,Q5545832,2006-02,2007-08-22,male,1938-05-30,,,George Wallace (diplomat)
Minister of Foreign Affairs,Olubanke King Akerele,Q436587,2007-08-22,2010-11-03,female,1946-05-11,,Olubanke King Akerele 080627-F-1644L-202.jpg,Olubanke King Akerele
Minister of Foreign Affairs,Sylvester Grigsby,Q108443109,2010,2010,male,,,,
Minister of Foreign Affairs,Toga G. McIntosh,Q99472393,2010-11-03,2012-02-10,male,,,,
Minister of Foreign Affairs,Augustine Kpehe Ngafuan,Q4821195,2012-02-10,2015-10-02,male,1970-04-07,,,Augustine Kpehe Ngafuan
Minister of Foreign Affairs,B. Elias Shoniyin,Q99472381,2015-10-02,2016-01-06,male,,,,
Minister of Foreign Affairs,Marjon Kamara,Q29294975,2016-01-06,2018-01-22,female,1949-08-13,,,Marjon Kamara
Minister of Foreign Affairs,Gbehzohngar Findley,Q9266530,2018-01-22,2020-07-28,male,1960-07-02,,Senator Gbehzohnzar Findley of Liberia.jpg,Gbehzohngar Milton Findley
Minister of Foreign Affairs,Henry Boimah Fahnbulleh,Q891036,2020-07-28,2020-10-12,male,1949-07-16,,,Henry Boimah Fahnbulleh
Minister of Foreign Affairs,Dee-Maxwell Saah Kemaya Sr.,Q110515353,2020-10-12,,male,,,,
Minister of Gender and Development,Julia Duncan-Cassell,Q96654629,2012,2018-01-22,female,1960,,DuncanCassell.jpg,Julia Duncan-Cassell
